243 2
0 117 43
0 208 27
1 132 21
1 145 19
2 169 32
2 123 39
3 188 37
3 150 46
4 160 13
4 109 28
5 79 0
5 92 48
6 80 23
6 169 4
7 155 31
7 87 48
8 131 23
8 207 45
9 199 49
9 200 18
10 76 48
10 178 17
11 225 38
11 164 13
12 197 18
12 97 26
13 77 1
13 226 49
14 32 38
14 214 17
15 229 36
15 178 11
16 238 12
16 18 1
17 231 11
17 60 23
18 154 29
18 44 49
19 37 6
19 128 30
20 40 9
20 76 37
21 210 48
21 65 44
22 142 15
22 22 49
23 177 16
23 136 21
24 208 36
24 240 35
25 187 27
25 215 6
26 127 50
26 206 14
27 62 40
27 212 39
28 212 16
28 178 41
29 152 16
29 120 32
30 54 22
30 68 14
31 216 17
31 13 34
32 64 27
32 122 21
33 68 36
33 226 17
34 121 43
34 231 36
35 89 30
35 186 39
36 32 28
36 139 13
37 173 10
37 90 39
38 61 36
38 114 44
39 98 4
39 57 38
40 161 34
40 19 7
41 214 0
41 167 8
42 70 29
42 149 29
43 2 16
43 84 4
44 196 48
44 161 45
45 46 29
45 33 21
46 224 45
46 219 11
47 215 43
47 226 23
48 41 10
48 19 1
49 144 33
49 123 12
50 201 12
50 46 48
51 8 39
51 158 44
52 235 8
52 182 40
53 12 18
53 167 37
54 74 44
54 47 29
55 212 19
55 35 9
56 195 48
56 227 8
57 17 39
57 200 43
58 174 8
58 233 40
59 164 7
59 235 39
60 217 7
60 27 49
61 14 23
61 174 25
62 63 30
62 190 49
63 49 12
63 21 17
64 228 42
64 61 42
65 169 17
65 164 44
66 29 9
66 89 14
67 204 24
67 38 16
68 214 35
68 119 24
69 48 4
69 77 34
70 94 27
70 52 19
71 114 30
71 242 35
72 98 12
72 16 6
73 11 11
73 159 43
74 120 32
74 181 48
75 136 20
75 105 36
76 23 1
76 180 4
77 226 0
77 198 21
78 100 46
78 34 18
79 35 32
79 24 15
80 16 37
80 219 10
81 41 13
81 184 24
82 76 32
82 44 21
83 0 13
83 153 25
84 225 23
84 100 13
85 48 35
85 205 7
86 112 4
86 216 13
87 116 41
87 166 14
88 64 21
88 212 44
89 37 47
89 191 26
90 72 7
90 191 49
91 31 2
91 59 45
92 194 17
92 110 30
93 44 34
93 123 31
94 76 42
94 200 45
95 128 0
95 131 42
96 20 45
96 74 15
97 115 32
97 168 41
98 66 47
98 103 26
99 68 3
99 5 21
100 150 33
100 44 23
101 134 22
101 76 43
102 171 25
102 23 42
103 64 29
103 20 10
104 185 39
104 106 36
105 228 18
105 164 21
106 182 36
106 187 15
107 169 25
107 45 21
108 187 19
108 158 50
109 165 45
109 110 11
110 209 16
110 22 45
111 125 31
111 35 32
112 56 19
112 2 49
113 221 17
113 129 2
114 195 37
114 168 35
115 140 26
115 128 13
116 5 14
116 62 39
117 77 43
117 173 41
118 161 7
118 17 21
119 37 7
119 109 4
120 189 46
120 204 43
121 95 49
121 138 7
122 99 28
122 32 1
123 149 22
123 45 22
124 219 21
124 154 14
125 213 36
125 186 20
126 85 14
126 89 12
127 206 14
127 97 9
128 228 43
128 19 30
129 8 7
129 74 16
130 19 4
130 128 6
131 37 34
131 158 12
132 150 11
132 13 0
133 23 47
133 199 49
134 58 37
134 160 6
135 149 10
135 145 38
136 205 1
136 64 20
137 200 45
137 111 21
138 227 1
138 21 9
139 7 34
139 191 4
140 206 21
140 212 45
141 126 29
141 100 35
142 139 46
142 204 15
143 62 8
143 35 18
144 37 6
144 138 46
145 136 15
145 62 23
146 80 48
146 61 49
147 176 26
147 159 30
148 190 30
148 17 13
149 8 38
149 149 23
150 25 0
150 184 21
151 20 49
151 89 12
152 146 29
152 191 11
153 163 1
153 144 9
154 237 11
154 232 3
155 163 13
155 236 34
156 131 32
156 137 25
157 77 34
157 93 17
158 15 4
158 139 32
159 217 29
159 227 18
160 167 37
160 196 20
161 228 15
161 234 1
162 51 27
162 14 32
163 44 33
163 90 42
164 111 39
164 13 18
165 171 31
165 122 33
166 46 25
166 204 26
167 106 22
167 178 18
168 69 36
168 71 49
169 227 49
169 162 32
170 11 22
170 121 36
171 202 49
171 33 43
172 155 3
172 43 4
173 5 23
173 156 45
174 74 23
174 182 31
175 121 31
175 73 30
176 43 25
176 168 18
177 216 22
177 126 18
178 232 41
178 209 15
179 93 2
179 186 34
180 209 45
180 122 42
181 140 31
181 74 11
182 37 25
182 27 21
183 234 40
183 94 32
184 131 44
184 134 31
185 124 28
185 217 25
186 21 1
186 133 45
187 32 41
187 95 1
188 54 31
188 230 13
189 180 0
189 123 45
190 78 18
190 218 50
191 10 12
191 190 44
192 226 40
192 107 47
193 86 46
193 67 11
194 237 22
194 111 38
195 228 10
195 238 40
196 176 26
196 138 22
197 227 24
197 204 7
198 61 8
198 89 11
199 22 50
199 194 19
200 141 19
200 41 30
201 82 18
201 153 46
202 111 40
202 22 24
203 148 19
203 163 21
204 240 36
204 60 45
205 30 31
205 150 38
206 179 8
206 164 29
207 133 18
207 175 47
208 113 21
208 198 47
209 126 19
209 239 9
210 186 9
210 144 12
211 199 50
211 98 12
212 72 39
212 111 9
213 152 41
213 206 41
214 165 23
214 47 38
215 150 32
215 211 0
216 28 11
216 192 43
217 114 12
217 1 5
218 20 11
218 241 41
219 18 45
219 44 22
220 215 11
220 211 31
221 234 35
221 109 15
222 17 7
222 20 8
223 78 40
223 157 2
224 77 30
224 80 24
225 199 24
225 139 30
226 17 3
226 70 6
227 150 37
227 193 4
228 76 8
228 197 4
229 8 33
229 31 29
230 96 19
230 211 38
231 148 33
231 164 40
232 173 43
232 170 26
233 139 42
233 124 23
234 212 17
234 127 38
235 226 23
235 64 10
236 22 35
236 25 32
237 228 46
237 123 22
238 225 16
238 101 10
239 115 13
239 52 48
240 126 43
240 32 42
241 191 20
241 98 47
242 215 11
242 132 47
